sep=|
DIPUTACIONES
13/06/2021 09:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_COMPUTADAS|PORCENTAJE_ACTAS_COMPUTADAS|TOTAL_VOTOS
300|300|100.0000|49,107,009

TIPO_CANDIDATURA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FXM|CANDIDATO/A NO REGISTRADO/A|VOTOS NULOS|TOTAL_VOTOS_CALCULADOS|FECHA_HORA
RP|9|CIUDAD DE MÉXICO|3|AZCAPOTZALCO|56754|26968|5348|6390|3924|4948|79022|4049|1827|11213|-|-|206042|13/06/2021 08:06:32
RP|9|CIUDAD DE MÉXICO|4|IZTAPALAPA|20109|15839|4480|3994|5482|4553|61546|3437|1175|2699|-|-|127440|13/06/2021 08:06:17
RP|9|CIUDAD DE MÉXICO|5|TLALPAN|43600|20624|4957|2825|2642|11299|49412|1663|1005|6696|-|-|149018|13/06/2021 08:06:20
RP|9|CIUDAD DE MÉXICO|6|LA MAGDALENA CONTRERAS|56892|37339|6083|4608|6103|5770|53164|3739|1345|5104|-|-|186340|13/06/2021 08:06:31
RP|9|CIUDAD DE MÉXICO|7|GUSTAVO A. MADERO|30980|28219|18764|4716|3519|5881|81197|3113|1779|4026|-|-|188357|13/06/2021 08:06:30
RP|9|CIUDAD DE MÉXICO|8|CUAUHTEMOC|25625|29663|6031|3289|3552|4637|58570|3703|1989|2573|-|-|144720|13/06/2021 08:06:40
RP|9|CIUDAD DE MÉXICO|9|TLAHUAC|14845|22884|8756|7988|4485|4162|59829|4449|1477|3156|-|-|137791|13/06/2021 08:06:48
RP|9|CIUDAD DE MÉXICO|10|MIGUEL HIDALGO|87742|19485|3664|3414|4183|9080|60802|1726|1049|2227|-|-|197201|13/06/2021 08:06:51
RP|9|CIUDAD DE MÉXICO|11|VENUSTIANO CARRANZA|33601|26607|11361|3602|3012|6563|74398|2452|1157|3252|-|-|171460|13/06/2021 08:06:41
RP|9|CIUDAD DE MÉXICO|12|CUAUHTEMOC|47663|30130|5469|3117|2289|5400|52173|2339|1178|3166|-|-|157995|13/06/2021 08:06:31
RP|9|CIUDAD DE MÉXICO|13|IZTACALCO|43372|25736|10417|12123|3434|6070|71361|3584|1798|4840|-|-|188085|13/06/2021 08:06:22
RP|9|CIUDAD DE MÉXICO|14|TLALPAN|36146|19004|4010|3783|2822|11341|56656|2030|1125|5984|-|-|148276|13/06/2021 08:06:19
RP|9|CIUDAD DE MÉXICO|15|BENITO JUAREZ|143586|24594|4537|2459|2281|6565|46780|1492|835|1957|-|-|239168|13/06/2021 08:06:32
RP|9|CIUDAD DE MÉXICO|16|ALVARO OBREGON|48194|25488|15040|4567|3310|5915|60728|2649|1052|4259|-|-|176303|13/06/2021 08:06:27
RP|9|CIUDAD DE MÉXICO|17|CUAJIMALPA DE MORELOS|53597|47635|8772|7058|3400|5299|54847|3964|1751|3931|-|-|195301|13/06/2021 08:06:26
RP|9|CIUDAD DE MÉXICO|18|IZTAPALAPA|37607|23830|9203|7974|3295|6328|66453|2721|1125|2541|-|-|167060|13/06/2021 08:06:30
RP|9|CIUDAD DE MÉXICO|19|IZTAPALAPA|22026|18498|7933|5333|3238|4652|71656|2944|1058|2371|-|-|145055|13/06/2021 08:06:31
RP|9|CIUDAD DE MÉXICO|20|IZTAPALAPA|14839|15715|11302|4502|4201|4418|66593|2227|1105|2133|-|-|131115|13/06/2021 08:06:29
RP|9|CIUDAD DE MÉXICO|21|XOCHIMILCO|18016|26136|3288|6872|5212|5840|66578|4493|2041|4845|-|-|149910|13/06/2021 08:06:23
RP|9|CIUDAD DE MÉXICO|22|IZTAPALAPA|8022|9556|6409|4054|3002|3206|66910|2759|809|1818|-|-|111458|13/06/2021 08:06:16
RP|9|CIUDAD DE MÉXICO|23|COYOACAN|60729|25734|15450|3853|4581|8331|74394|2352|1201|3441|-|-|205720|13/06/2021 08:06:10
RP|9|CIUDAD DE MÉXICO|24|COYOACAN|69954|28388|6198|6043|3892|6100|61922|2296|1213|3332|-|-|194566|13/06/2021 08:06:07
RP|10|DURANGO|1|VICTORIA DE DURANGO|32666|38303|2483|8281|5200|4968|42543|2318|3203|1952|-|-|146266|13/06/2021 08:06:55
RP|10|DURANGO|2|GOMEZ PALACIO|16908|36045|1763|3981|2382|3915|66300|2142|784|1502|-|-|138981|13/06/2021 08:06:35
RP|10|DURANGO|3|GUADALUPE VICTORIA|21019|36326|5398|17089|4455|5204|46292|2322|3608|1724|-|-|147374|13/06/2021 08:06:24
RP|10|DURANGO|4|VICTORIA DE DURANGO|32766|24585|2245|2209|6143|15375|33434|2982|14110|3338|-|-|141340|13/06/2021 08:06:10
RP|11|GUANAJUATO|1|SAN LUIS DE LA PAZ|43911|30284|6625|6913|3077|2262|23911|4582|2960|5606|-|-|137140|13/06/2021 08:06:57
RP|11|GUANAJUATO|2|SAN MIGUEL DE ALLENDE|42933|21391|3378|6304|7540|6433|31691|4374|1568|4315|-|-|134981|13/06/2021 08:06:52
RP|11|GUANAJUATO|3|LEON|99667|10498|1114|4890|872|5197|25927|1005|590|953|-|-|153488|13/06/2021 08:06:49
RP|11|GUANAJUATO|4|GUANAJUATO|55770|12186|1878|17240|3115|4013|18197|1406|5519|2502|-|-|126298|13/06/2021 08:06:46
RP|11|GUANAJUATO|5|LEON|72977|11045|994|4831|1033|4114|29142|1455|574|1310|-|-|130445|13/06/2021 09:06:39
RP|11|GUANAJUATO|6|LEON|79939|10103|1039|4744|946|4169|30050|1075|599|1016|-|-|136566|13/06/2021 09:06:31
RP|11|GUANAJUATO|7|SAN FRANCISCO DEL RINCON|58653|26453|1531|8245|996|4603|22745|871|369|563|-|-|128305|13/06/2021 09:06:42
RP|11|GUANAJUATO|8|SALAMANCA|47484|7944|9442|7741|5032|12253|50531|2135|4295|4229|-|-|155894|13/06/2021 09:06:44
RP|11|GUANAJUATO|9|IRAPUATO|50875|14355|1291|4331|1160|3850|34454|1567|1171|1666|-|-|117732|13/06/2021 09:06:39
RP|11|GUANAJUATO|10|URIANGATO|39487|21201|5445|14023|1911|12324|41064|3743|2640|1517|-|-|148007|13/06/2021 09:06:38
RP|11|GUANAJUATO|11|LEON|66851|9615|1293|4368|956|3792|29026|1100|726|1231|-|-|121629|13/06/2021 09:06:30
RP|11|GUANAJUATO|12|CELAYA|56265|14286|2336|5841|4550|5574|44108|2051|1174|2038|-|-|142003|13/06/2021 09:06:21
RP|11|GUANAJUATO|13|VALLE DE SANTIAGO|46290|24483|2814|7165|2133|7037|38700|2159|8939|3317|-|-|147746|13/06/2021 09:06:12
RP|11|GUANAJUATO|14|ACAMBARO|42847|20434|3462|9823|3497|7969|30445|4913|2124|2529|-|-|133710|13/06/2021 09:06:13
RP|11|GUANAJUATO|15|IRAPUATO|48051|10831|1601|2730|1095|4503|37419|1160|1142|1184|-|-|112872|13/06/2021 09:06:09
RP|12|GUERRERO|1|CD. ALTAMIRANO|1194|50956|25181|1188|4928|5106|59540|1139|860|915|-|-|155767|13/06/2021 08:06:54
RP|12|GUERRERO|2|IGUALA|16269|37118|21331|7125|5900|3967|53567|2973|3020|8834|-|-|166948|13/06/2021 08:06:43
RP|12|GUERRERO|3|ZIHUATANEJO|1963|40424|34472|3532|2458|3218|84676|4934|2302|1221|-|-|184568|13/06/2021 08:06:35
RP|12|GUERRERO|4|ACAPULCO|3086|34892|7223|2291|1622|9354|82749|2522|1396|3124|-|-|153505|13/06/2021 08:06:24
RP|12|GUERRERO|5|TLAPA|3509|37020|17612|9173|28089|9331|56596|5279|1848|1264|-|-|182071|13/06/2021 08:06:17
RP|12|GUERRERO|6|CHILAPA|6621|42532|50296|4230|4178|3751|51432|2243|2128|823|-|-|175475|13/06/2021 08:06:08
RP|12|GUERRERO|7|CHILPANCINGO|6945|48508|10146|2544|4902|2480|70254|1886|1656|1727|-|-|156249|13/06/2021 08:06:00
RP|12|GUERRERO|8|AYUTLA DE LOS LIBRES|5530|35946|22354|20023|5832|2824|60258|4033|1359|1974|-|-|167346|13/06/2021 08:06:45
RP|12|GUERRERO|9|ACAPULCO|2566|44918|6060|2607|2155|3154|68008|2595|1445|1951|-|-|140356|13/06/2021 08:06:52
RP|13|HIDALGO|1|HUEJUTLA DE REYES|14151|48833|4952|3878|3776|2227|58176|15150|3366|2013|-|-|163297|13/06/2021 08:06:14
RP|13|HIDALGO|2|IXMIQUILPAN|15146|30993|7407|2984|5992|2111|66038|3250|3404|2849|-|-|146277|13/06/2021 08:06:03
RP|13|HIDALGO|3|ACTOPAN|6431|41061|7290|3546|2717|2319|63946|2455|1932|2419|-|-|139630|13/06/2021 08:06:54
RP|13|HIDALGO|4|TULANCINGO DE BRAVO|7682|37145|4918|2945|2443|3771|54943|2340|2033|3132|-|-|126361|13/06/2021 08:06:47
RP|13|HIDALGO|5|TULA DE ALLENDE|20645|32276|5432|7979|2985|4202|70680|2109|3130|3315|-|-|157798|13/06/2021 08:06:36
RP|13|HIDALGO|6|PACHUCA DE SOTO|14472|55376|2581|2823|3107|5366|76088|2137|1688|3639|-|-|171967|13/06/2021 08:06:32
RP|13|HIDALGO|7|TEPEAPULCO|9649|44804|2763|2555|2090|2843|65984|1696|2543|2463|-|-|141821|13/06/2021 08:06:32
